co_code,nsesymbol,broker_name,sales,pat,ebitda,picked_type,expected_sales,expected_ebitda,expected_pat,ebitda_margin_percent,pat_margin_percent,sales_beat,pat_beat,ebitda_beat,sales_flag,pat_flag,ebitda_flag,overall_flag
2378,AARTIIND,Batlivala & Karani Securities India Pvt. Ltd.,1675.0,43.0,212.0,Consolidated,1966.3,314.6,125.2,16.0,6.4,-14.814626455779889,-65.65495207667732,-32.6128417037508,Miss,Miss,Miss,Miss
2378,AARTIIND,Nuvama Institutional Equities,1675.0,43.0,212.0,Consolidated,1739.4,254.0,63.1,14.6,3.6,-3.7024261239507923,-31.85419968304279,-16.535433070866144,Inline,Miss,Miss,Miss
242,ABB,Batlivala & Karani Securities India Pvt. Ltd.,3175.44,351.74,413.75,Standalone,3099.9,567.3,451.1,18.3,14.6,2.43685280170328,-22.026158279760587,-27.066807685527934,Inline,Miss,Miss,Miss
242,ABB,Nuvama Institutional Equities,3175.44,351.74,413.75,Standalone,3132.9,579.6,471.2,18.5,15.0,1.3578473618691935,-25.35229202037351,-28.61456176673568,Inline,Miss,Miss,Miss
90,ABBOTINDIA,Batlivala & Karani Securities India Pvt. Ltd.,1738.35,365.86,445.5899999999999,Standalone,1690.0,447.8,375.3,26.5,22.2,2.8609467455621247,-2.515321076472155,-0.49352389459582247,Inline,Inline,Inline,Inline
40912,ABFRL,Nuvama Institutional Equities,1831.46,-233.73,105.92000000000002,Consolidated,1761.4,98.9,-255.5,5.6,-14.5,3.9775178835017564,-8.520547945205484,7.0980788675429825,Inline,Miss,Beat,Miss
92996,ABLBL,Nuvama Institutional Equities,1840.58,24.06,263.12,Consolidated,1866.2,257.9,100.1,13.8,5.4,-1.372843210802707,-75.96403596403596,2.024040325707649,Inline,Miss,Inline,Miss
107,ABREL,Batlivala & Karani Securities India Pvt. Ltd.,145.56,-27.08,-42.39,Consolidated,258.5,-6.7,-16.7,-2.6,-6.5,-43.69052224371373,62.15568862275449,532.6865671641791,Miss,Beat,Beat,Beat
20665,ABSLAMC,Batlivala & Karani Securities India Pvt. Ltd.,447.39,277.11,264.66999999999996,Consolidated,455.3,305.5,267.3,67.1,58.7,-1.7373160553481277,3.6700336700336704,-13.364975450081845,Inline,Inline,Miss,Inline
20665,ABSLAMC,Nuvama Institutional Equities,447.39,277.11,264.66999999999996,Consolidated,447.0,265.1,270.7,59.3,60.5,0.08724832214764795,2.3679349833764407,-0.16220294228595386,Inline,Inline,Inline,Inline
6,ACC,Batlivala & Karani Securities India Pvt. Ltd.,6065.83,384.5,772.8199999999999,Standalone,5665.9,906.5,575.1,16.0,10.2,7.058543214670225,-33.14206225004347,-14.746828461114184,Beat,Miss,Miss,Miss
6,ACC,Nuvama Institutional Equities,6065.83,384.5,772.8199999999999,Standalone,5556.7,761.8,512.9,13.7,9.2,9.162452534777838,-25.034119711444724,1.4465739039117858,Beat,Miss,Inline,Miss
68317,ACI,Batlivala & Karani Securities India Pvt. Ltd.,292.36,40.14,78.08999999999999,Consolidated,393.5,115.3,76.8,29.3,19.5,-25.70266836086404,-47.73437499999999,-32.27233304423244,Miss,Miss,Miss,Miss
71636,ACMESOLAR,Nuvama Institutional Equities,510.98,130.82,441.9,Consolidated,494.4,438.7,108.9,88.7,22.0,3.3535598705501704,20.12855831037648,0.7294278550262112,Inline,Beat,Inline,Beat
21281,ADANIPORTS,Nuvama Institutional Equities,9126.14,3310.6,5495.33,Consolidated,9002.8,5109.8,2899.3,56.8,32.2,1.3700182165548513,14.186182871727649,7.544913695252255,Inline,Beat,Beat,Beat
6437,AFCONS,Nuvama Institutional Equities,3370.38,137.4,435.28999999999996,Consolidated,3548.6,387.5,148.5,10.9,4.2,-5.022262300625593,-7.474747474747471,12.332903225806442,Miss,Miss,Beat,Miss
73060,AFFLE,Batlivala & Karani Securities India Pvt. Ltd.,620.74,105.5,139.71999999999997,Consolidated,628.6,44.7,108.3,22.2,53.8,-1.2503977091950387,-2.5854108956602007,212.57270693512297,Inline,Inline,Beat,Inline
7310,AHLUCONT,Nuvama Institutional Equities,1004.88,51.21,86.33,Consolidated,1060.5,94.6,56.8,8.9,5.4,-5.244695898161245,-9.84154929577464,-8.742071881606762,Miss,Miss,Miss,Miss
22825,AIAENG,Batlivala & Karani Securities India Pvt. Ltd.,1038.94,305.17,306.37,Consolidated,1112.6,300.4,283.2,27.0,25.5,-6.620528491820947,7.757768361581931,1.9873501997336975,Miss,Beat,Inline,Beat
13504,AJANTPHARM,Batlivala & Karani Securities India Pvt. Ltd.,1208.56,254.97,329.4,Standalone,1247.0,366.6,271.4,29.4,21.8,-3.0825982357658424,-6.053795136330133,-10.147299509001648,Inline,Miss,Miss,Miss
13504,AJANTPHARM,Nuvama Institutional Equities,1302.65,255.34,351.35,Consolidated,1267.7,343.5,247.4,27.1,19.5,2.7569614262049416,3.209377526273241,2.2852983988355233,Inline,Inline,Inline,Inline
82794,AJAXENGG,Nuvama Institutional Equities,466.52,52.88,61.38999999999999,Standalone,460.2,59.9,52.8,13.0,11.5,1.3733159495871345,0.15151515151516176,2.487479131886469,Inline,Inline,Inline,Inline
266,AKZOINDIA,Batlivala & Karani Securities India Pvt. Ltd.,995.1,91.0,134.5,Consolidated,1088.1,183.9,123.9,16.9,11.4,-8.547008547008538,-26.553672316384187,-26.862425231103863,Miss,Miss,Miss,Miss
19299,ALKEM,Batlivala & Karani Securities India Pvt. Ltd.,3371.14,667.9100000000001,739.0500000000001,Consolidated,3196.2,636.0,501.0,19.9,15.7,5.473374632375949,33.31536926147706,16.202830188679258,Beat,Beat,Beat,Beat
19299,ALKEM,Nuvama Institutional Equities,3371.14,667.9100000000001,739.0500000000001,Consolidated,3271.0,621.0,493.6,19.0,15.1,3.0614490981351232,35.314019448946524,19.009661835748805,Inline,Beat,Beat,Beat
27333,ALLCARGO,Batlivala & Karani Securities India Pvt. Ltd.,3816.7,-98.96,19.82,Consolidated,3676.5,80.9,-27.0,2.2,-0.7,3.8134094927240536,266.51851851851853,-75.50061804697157,Inline,Beat,Miss,Beat
45967,AMBER,Nuvama Institutional Equities,2466.75,68.09,160.1,Standalone,2674.6,218.8,93.1,8.2,3.5,-7.771255514843338,-26.86358754027926,-26.82815356489946,Miss,Miss,Miss,Miss
218,AMBUJACEM,Batlivala & Karani Securities India Pvt. Ltd.,10289.07,969.66,1961.0900000000001,Consolidated,9715.3,1913.9,1264.5,19.7,13.0,5.905839243255489,-23.31672597864769,2.4656460630126995,Beat,Miss,Inline,Miss
218,AMBUJACEM,Nuvama Institutional Equities,10289.07,969.66,1961.0900000000001,Consolidated,10963.8,1943.4,1200.0,17.7,10.9,-6.154161878180919,-19.195000000000004,0.9102603684264718,Miss,Miss,Inline,Miss
